correctAns,imagePath,sphereColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,,,,space,6.61819287742,,,,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
j,imagesDK/75-purple.jpg,purple,0,0,0,14,,,f,0,7.57535385425,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
j,imagesDK/5075-red.jpg,red,0,1,1,8,,,f,0,0.940320961789,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
f,imagesDK/2550-green.jpg,green,0,2,2,5,,,f,1,0.654832091415,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
f,imagesDK/2550-purple.jpg,purple,0,3,3,6,,,f,1,0.585473312763,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
f,imagesDK/2550-blue.jpg,blue,0,4,4,3,,,f,1,0.500340322353,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
j,imagesDK/75-red.jpg,red,0,5,5,12,,,f,0,0.500363550731,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
f,imagesDK/025-purple.jpg,purple,0,6,6,2,,,f,1,0.500491036539,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
j,imagesDK/5075-green.jpg,green,0,7,7,9,,,f,0,0.501143050991,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
j,imagesDK/75-green.jpg,green,0,8,8,13,,,f,0,0.483937864716,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
f,imagesDK/2550-red.jpg,red,0,9,9,4,,,f,1,0.569606727804,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
f,imagesDK/025-green.jpg,green,0,10,10,1,,,f,1,0.501450961689,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
j,imagesDK/5075-blue.jpg,blue,0,11,11,7,,,f,0,0.501120903034,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
f,imagesDK/025-red.jpg,red,0,12,12,0,,,f,1,0.501332659158,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
j,imagesDK/75-blue.jpg,blue,0,13,13,11,,,f,0,0.500123164296,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
j,imagesDK/5075-purple.jpg,purple,0,14,14,10,,,f,0,0.500257132459,2016_May_25_0959,59.1957099447,gloopPresentation,001,s999,
